Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM Suite,Chrome 115.0.0.0,,,2023-07-27 15:01:58,2023-07-27 15:14:32,12m - 34.056s,FAILED
,,,,,,,
Test Cases/Orange HRM LogIN,Chrome 115.0.0.0,,,2023-07-27 15:01:58,2023-07-27 15:03:04,1m - 6.111s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-27 15:01:58,2023-07-27 15:02:04,5.669s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-07-27 15:02:04,2023-07-27 15:02:04,0.154s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-07-27 15:02:04,2023-07-27 15:02:07,3.042s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 115.0.0.0,,,2023-07-27 15:02:07,2023-07-27 15:02:57,50.179s,PASSED
"setText(findTestObject(""Object Repository/OragngeHrm LOGIN/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 115.0.0.0,,,2023-07-27 15:02:57,2023-07-27 15:03:02,4.071s,PASSED
"setEncryptedText(findTestObject(""Object Repository/OragngeHrm LOGIN/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 115.0.0.0,,,2023-07-27 15:03:02,2023-07-27 15:03:02,0.527s,PASSED
"click(findTestObject(""Object Repository/OragngeHrm LOGIN/Page_OrangeHRM/button_Login""))",Chrome 115.0.0.0,,,2023-07-27 15:03:02,2023-07-27 15:03:04,2.148s,PASSED
,,,,,,,
Test Cases/Emp Verify Oragge Hrm,Chrome 115.0.0.0,,,2023-07-27 15:10:45,2023-07-27 15:12:31,1m - 45.513s,FAILED
"callTestCase(findTestCase(""Orange HRM LogIN""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-27 15:10:45,2023-07-27 15:12:18,1m - 32.367s,PASSED
"click(findTestObject(""Object Repository/Emp Verification OrangeHRM/Page_OrangeHRM/a_PIM""))",Chrome 115.0.0.0,,,2023-07-27 15:12:18,2023-07-27 15:12:25,7.650s,PASSED
"setText(findTestObject(""Object Repository/Emp Verification OrangeHRM/Page_OrangeHRM/input""), ""Vijay"")",Chrome 115.0.0.0,,,2023-07-27 15:12:25,2023-07-27 15:12:28,3.066s,PASSED
"click(findTestObject(""Object Repository/Emp Verification OrangeHRM/Page_OrangeHRM/button_Search""))",Chrome 115.0.0.0,,,2023-07-27 15:12:28,2023-07-27 15:12:29,0.540s,PASSED
"verifyElementText(findTestObject(""Object Repository/Emp Verification OrangeHRM/Page_OrangeHRM/span_(5) Records Found""), ""(5) Records Found"")",Chrome 115.0.0.0,,,2023-07-27 15:12:29,2023-07-27 15:12:31,1.889s,FAILED
,,,,,,,
Test Cases/OrangeHrm Add Emp,Chrome 115.0.0.0,,,2023-07-27 15:12:31,2023-07-27 15:14:32,2m - 1.036s,PASSED
"callTestCase(findTestCase(""Orange HRM LogIN""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-27 15:12:31,2023-07-27 15:14:11,1m - 40.047s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM Add Emp/Page_OrangeHRM/a_PIM""))",Chrome 115.0.0.0,,,2023-07-27 15:14:11,2023-07-27 15:14:18,6.347s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM Add Emp/Page_OrangeHRM/a_Add Employee""))",Chrome 115.0.0.0,,,2023-07-27 15:14:18,2023-07-27 15:14:25,7.482s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM Add Emp/Page_OrangeHRM/input_Employee Full Name_firstName""), ""Vijaysai"")",Chrome 115.0.0.0,,,2023-07-27 15:14:25,2023-07-27 15:14:28,3.200s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM Add Emp/Page_OrangeHRM/input_Employee Full Name_lastName""), ""dundi"")",Chrome 115.0.0.0,,,2023-07-27 15:14:28,2023-07-27 15:14:29,0.784s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM Add Emp/Page_OrangeHRM/input_Employee Id_oxd-input oxd-input--active""), ""0362"")",Chrome 115.0.0.0,,,2023-07-27 15:14:29,2023-07-27 15:14:30,0.842s,PASSED
"id = verifyElementPresent(findTestObject(""OrangeHRM Add Emp/Page_OrangeHRM/input_Employee Id_oxd-input oxd-input--focus""), 0)",Chrome 115.0.0.0,,,2023-07-27 15:14:30,2023-07-27 15:14:30,0.359s,PASSED
println(id),Chrome 115.0.0.0,,,2023-07-27 15:14:30,2023-07-27 15:14:30,0.002s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM Add Emp/Page_OrangeHRM/button_Save""))",Chrome 115.0.0.0,,,2023-07-27 15:14:30,2023-07-27 15:14:31,0.471s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-27 15:14:31,2023-07-27 15:14:32,1.267s,PASSED
