Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM LOGin PIM Report,Chrome 115.0.0.0,,,2023-07-28 18:39:52,2023-07-28 18:41:00,1m - 8.101s,PASSED
,,,,,,,
Test Cases/Orange HRM PIM report,Chrome 115.0.0.0,,,2023-07-28 18:39:52,2023-07-28 18:41:00,1m - 7.854s,PASSED
"callTestCase(findTestCase(""Orange HRM LogIN""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-28 18:39:53,2023-07-28 18:40:13,20.654s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/a_PIM""))",Chrome 115.0.0.0,,,2023-07-28 18:40:13,2023-07-28 18:40:19,5.965s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/li_Reports""))",Chrome 115.0.0.0,,,2023-07-28 18:40:19,2023-07-28 18:40:22,3.278s,PASSED
"setText(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/input""), ""satyasai"")",Chrome 115.0.0.0,,,2023-07-28 18:40:22,2023-07-28 18:40:24,1.844s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/button_Search""))",Chrome 115.0.0.0,,,2023-07-28 18:40:24,2023-07-28 18:40:25,0.517s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/i_Actions_oxd-icon bi-check oxd-checkbox-in_fe61ad""))",Chrome 115.0.0.0,,,2023-07-28 18:40:25,2023-07-28 18:40:25,0.556s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/i_All Employee Sub Unit Hierarchy Report_ox_1ff162""))",Chrome 115.0.0.0,,,2023-07-28 18:40:25,2023-07-28 18:40:27,1.182s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/i_Location_oxd-icon bi-x --clear""))",Chrome 115.0.0.0,,,2023-07-28 18:40:27,2023-07-28 18:40:58,31.629s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/button_Save""))",Chrome 115.0.0.0,,,2023-07-28 18:40:58,2023-07-28 18:40:59,0.545s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-28 18:40:59,2023-07-28 18:41:00,1.327s,PASSED
