Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1112,Chrome 115.0.0.0,,,2023-07-31 12:51:55,2023-07-31 12:53:11,1m - 16.090s,PASSED
,,,,,,,
Test Cases/Orange HRM Perfomance,Chrome 115.0.0.0,,,2023-07-31 12:51:56,2023-07-31 12:52:30,34.136s,PASSED
"callTestCase(findTestCase(""Orange HRM LogIN""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-31 12:51:56,2023-07-31 12:52:20,23.574s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM Perfomance/Page_OrangeHRM/span_Performance""))",Chrome 115.0.0.0,,,2023-07-31 12:52:20,2023-07-31 12:52:24,4.358s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM Perfomance/Page_OrangeHRM/input""), ""satyasai"")",Chrome 115.0.0.0,,,2023-07-31 12:52:24,2023-07-31 12:52:27,2.419s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM Perfomance/Page_OrangeHRM/button_Search""))",Chrome 115.0.0.0,,,2023-07-31 12:52:27,2023-07-31 12:52:27,0.682s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM Perfomance/Page_OrangeHRM/button_Reset""))",Chrome 115.0.0.0,,,2023-07-31 12:52:27,2023-07-31 12:52:28,1.064s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-31 12:52:28,2023-07-31 12:52:30,1.401s,PASSED
,,,,,,,
Test Cases/Orange HRM PIM report,Chrome 115.0.0.0,,,2023-07-31 12:52:30,2023-07-31 12:53:11,41.415s,PASSED
"callTestCase(findTestCase(""Orange HRM LogIN""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-31 12:52:31,2023-07-31 12:52:49,18.659s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/a_PIM""))",Chrome 115.0.0.0,,,2023-07-31 12:52:49,2023-07-31 12:52:54,4.689s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/li_Reports""))",Chrome 115.0.0.0,,,2023-07-31 12:52:54,2023-07-31 12:52:57,2.923s,PASSED
"setText(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/input""), ""satyasai"")",Chrome 115.0.0.0,,,2023-07-31 12:52:57,2023-07-31 12:53:00,2.604s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/button_Search""))",Chrome 115.0.0.0,,,2023-07-31 12:53:00,2023-07-31 12:53:00,0.573s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/i_Actions_oxd-icon bi-check oxd-checkbox-in_fe61ad""))",Chrome 115.0.0.0,,,2023-07-31 12:53:00,2023-07-31 12:53:02,1.501s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/i_All Employee Sub Unit Hierarchy Report_ox_1ff162""))",Chrome 115.0.0.0,,,2023-07-31 12:53:02,2023-07-31 12:53:04,2.253s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/i_Location_oxd-icon bi-x --clear""))",Chrome 115.0.0.0,,,2023-07-31 12:53:04,2023-07-31 12:53:09,5.159s,PASSED
"click(findTestObject(""Object Repository/Orange HRM PIM Report/Page_OrangeHRM/button_Save""))",Chrome 115.0.0.0,,,2023-07-31 12:53:09,2023-07-31 12:53:10,0.664s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-31 12:53:10,2023-07-31 12:53:11,1.471s,PASSED
